Date,Wheat excluding durum,Oats,Barley,Canola,Dry peas
01/01/1985,165.96,114.62,127.39,342,
01/02/1985,167.18,116.19,127.36,347.27,
01/03/1985,166.92,118.36,130.29,350.04,
01/04/1985,164.79,115.68,127.39,363.84,
01/05/1985,166.75,105.73,125.62,354.58,
01/06/1985,166.62,102.24,121.36,349.59,
01/07/1985,166.34,96.94,120.22,335.06,
01/08/1985,137.62,104.01,115.68,305.64,
01/09/1985,134.79,97.83,101.85,302.87,
01/10/1985,129.41,91.98,97.83,289.45,
01/11/1985,127.84,97.96,97.3,283.31,
01/12/1985,127.83,98.94,97.65,281.6,
01/01/1986,133.21,96.67,95.14,281.59,
01/02/1986,134.21,90.8,90.49,266.06,
01/03/1986,132.44,91.86,88.56,261.31,
01/04/1986,129.99,86.4,84.56,244.42,
01/05/1986,124.88,93.6,90.31,240.22,
01/06/1986,128.94,95.26,95.68,228.11,
01/07/1986,129.93,93.98,93.71,216.4,
01/08/1986,105.88,81.45,73.96,188,
01/09/1986,91.03,66.09,66.31,186.97,
01/10/1986,106.84,63.34,66.53,198.01,
01/11/1986,101.2,67.18,65.7,206.21,
01/12/1986,92.14,66.72,64.77,200.35,
01/01/1987,92.08,68.41,65.56,200.08,196
01/02/1987,87.35,68.05,63.79,188.9,196
01/03/1987,90.6,64.98,63.65,182.67,196
01/04/1987,92.95,67.51,65,183.49,196
01/05/1987,94.13,67.27,66.79,205.9,196
01/06/1987,93.78,66.82,67.92,218.93,196
01/07/1987,94.28,63.51,63.48,222.49,196
01/08/1987,106.77,66.53,61.74,207.68,173
01/09/1987,111.26,57.66,52.42,203.23,173
01/10/1987,107.91,61.46,52.08,214.46,173
01/11/1987,109.7,70.71,54.08,224.1,173
01/12/1987,111.06,73.5,50.96,237.29,173
01/01/1988,113,80.46,53.64,260.29,173
01/02/1988,113.2,77.65,54.67,261.65,173
01/03/1988,111.68,79.3,54.15,257.94,173
01/04/1988,111.84,77.7,56.03,265.9,173
01/05/1988,113.83,83.3,64.99,289,173
01/06/1988,113.8,118.47,82.96,344.23,173
01/07/1988,114.9,130.39,91.83,354.05,173
01/08/1988,162.58,141.34,101.72,328.66,201
01/09/1988,165.52,139.33,101.78,330.4,201
01/10/1988,158.73,135.45,103.2,310.02,201
01/11/1988,160.79,137.52,107.05,303.02,201
01/12/1988,159.57,141.6,110.39,307.61,201
01/01/1989,161.86,137.97,114.33,299.08,201
01/02/1989,160.94,138.22,116.01,289.81,201
01/03/1989,161.2,136.07,114.74,299.16,201
01/04/1989,161.69,129.22,115.09,300.82,201
01/05/1989,162.08,127.72,115.35,296.61,201
01/06/1989,162.77,107.06,106.82,264.56,201
01/07/1989,163.38,96.89,97.34,254.34,201
01/08/1989,155.4,87.96,95.08,238.95,180
01/09/1989,145.65,79.24,81.79,256.03,180
01/10/1989,143.79,79.4,84.36,251.12,180
01/11/1989,145.34,84.07,90.46,262.33,180
01/12/1989,146.08,84.69,94.35,267.05,180
01/01/1990,146.55,83.76,96.7,268.18,180
01/02/1990,145.78,81.22,97.38,268.6,180
01/03/1990,145.55,80.97,96.21,274.02,180
01/04/1990,146.6,81.52,97.2,284.44,180
01/05/1990,146.83,86.34,97.93,289.86,180
01/06/1990,147.16,81.92,97.85,281.82,180
01/07/1990,147.93,69.39,93.63,276.39,180
01/08/1990,107.59,65.61,92.88,266.42,184
01/09/1990,109.86,59.24,79.19,257.31,184
01/10/1990,108.81,67.03,75.29,253.95,184
01/11/1990,106.9,71,80.59,260.83,184
01/12/1990,111.01,68.68,82.44,255.84,184
01/01/1991,109.73,69.65,85.23,262.09,184
01/02/1991,110.11,68.25,83.78,257.17,184
01/03/1991,111.65,69.04,83.21,256.74,184
01/04/1991,111.72,67.17,81.64,266.23,184
01/05/1991,112.29,66.8,83.92,266.75,184
01/06/1991,112.83,67.82,82.14,258.79,184
01/07/1991,113.02,65.19,75.03,243.2,184
01/08/1991,112.73,67.56,66.45,242.41,155
01/09/1991,112.67,67.76,62.34,235.68,155
01/10/1991,112.39,73.04,64.94,232.81,160
01/11/1991,112.59,73.48,68.17,231.34,160
01/12/1991,112.59,77.46,70.8,227.66,160
01/01/1992,112.45,82.33,71.62,233.6,161.3
01/02/1992,112.15,93.58,72.02,236.58,161.3
01/03/1992,112.01,97.79,72.96,244.8,161.3
01/04/1992,111.44,94.34,74.98,243.99,161.3
01/05/1992,110.83,93.97,77.49,247.49,161.3
01/06/1992,111.46,95.48,79.6,256.7,161.3
01/07/1992,111.94,90.1,77.49,250.16,161.3
01/08/1992,137.09,95.98,79.04,251.96,180
01/09/1992,121.87,98.56,78.02,254.79,180
01/10/1992,115.14,94.96,76.79,228.43,180
01/11/1992,121.87,101.98,82.21,246.47,180
01/12/1992,121.27,103.79,81.36,251.36,180
01/01/1993,119.47,104.21,82.19,267.62,185.5
01/02/1993,118.3,99.64,82.81,269.32,185.5
01/03/1993,116.75,93.42,83.57,277.62,185.5
01/04/1993,117.37,95.89,83.18,276.85,185.5
01/05/1993,119.33,91.95,81.95,270.65,185.5
01/06/1993,118.8,91.32,80.17,270.08,185.5
01/07/1993,119.61,92.46,76.83,271.72,185.5
01/08/1993,120.54,89.63,74.68,269.44,161
01/09/1993,127.9,92,65.17,268.81,160
01/10/1993,124.93,91.89,64.33,258.91,163
01/11/1993,124.91,91.28,66.9,265.23,165
01/12/1993,118.09,89.87,72.25,330.95,170
01/01/1994,117.68,89.2,76.9,310,170
01/02/1994,114.9,87.74,80.25,320.41,175
01/03/1994,118.64,85.38,77.77,336.52,180
01/04/1994,114.81,84.05,75.05,357.37,185
01/05/1994,119.99,81.62,77.29,373.35,190
01/06/1994,116.06,82.84,75.59,380.24,185
01/07/1994,115.51,80.71,71.68,342.14,180
01/08/1994,121.88,81.19,75.11,315.3,163
01/09/1994,166.36,85.18,79.15,317.61,164
01/10/1994,166,86.24,88.07,317.56,163
01/11/1994,164.85,87.3,96.1,336.45,171
01/12/1994,166.39,85.46,101.17,358.59,177
01/01/1995,166.74,83.76,103.02,367.46,176
01/02/1995,165.88,83.07,104.27,390.35,170
01/03/1995,169.57,83.01,107.35,402.33,169
01/04/1995,167.97,87.63,110.38,393.65,169
01/05/1995,167.82,93.05,115.01,375.25,168
01/06/1995,167.72,97.92,119.66,367.91,171
01/07/1995,168.09,102.84,128.84,370.66,170
01/08/1995,214.9,116.69,127.45,350.72,175
01/09/1995,221.46,122.1,115.78,346.51,182
01/10/1995,217.18,127.46,125.62,348.83,191
01/11/1995,215.73,143.23,138.43,348.11,201
01/12/1995,216.01,177.23,149.43,359.95,215
01/01/1996,215.48,177.44,151.42,364.07,225
01/02/1996,217.32,179.58,150.73,364.59,222
01/03/1996,217.75,184.01,153.46,363.68,224
01/04/1996,216.64,197.5,156.75,379.47,223
01/05/1996,216.29,205.53,161.23,393.32,221
01/06/1996,216.82,175.38,171.57,392.03,220
01/07/1996,216.38,170.05,158.37,408.18,225
01/08/1996,167.54,173.92,127.38,371.26,228
01/09/1996,167.68,131.16,128.29,398.13,234
01/10/1996,157.61,137.32,124.2,361.69,225
01/11/1996,155.54,135.89,103.9,374.06,215
01/12/1996,158.95,143.27,117.21,383.55,210
01/01/1997,156.01,121.35,115.5,388.79,210
01/02/1997,159.22,121.38,113.39,396.3,215
01/03/1997,157.48,124.55,115.22,407.43,230
01/04/1997,161.52,125.21,116.75,409.8,225
01/05/1997,156.92,119.07,114.99,397.86,230
01/06/1997,159.65,111.19,112.93,373.72,205
01/07/1997,156.36,112.12,103.5,360.57,185
01/08/1997,151.74,104.77,106.65,345.7,190
01/09/1997,154.06,107.56,106.54,344.11,190
01/10/1997,146.94,107.24,112.4,352.03,187
01/11/1997,147.56,113.66,115.17,360.61,190
01/12/1997,149.42,114.83,116.98,358.62,197
01/01/1998,149.82,122.49,121.98,355.36,198
01/02/1998,149.97,114.02,116.47,371.81,198
01/03/1998,149.99,109.54,111.63,389.42,198
01/04/1998,152.17,107.55,110.39,395.24,179
01/05/1998,152.66,104.42,109.87,400.05,172
01/06/1998,150.96,105.67,108.47,401.55,167
01/07/1998,151.98,95.86,106.32,395.01,162
01/08/1998,157.19,101.16,93.73,340.1,156
01/09/1998,155.9,105.88,88.6,338.79,146
01/10/1998,157.91,105.19,97.75,352.34,150
01/11/1998,151.11,102.19,100.98,363.56,155
01/12/1998,156.2,95,99.16,372.99,155
01/01/1999,155.02,94.29,104.31,369.75,146
01/02/1999,156.19,93.1,96.96,351.92,148
01/03/1999,157.33,89.2,88.04,303.91,144
01/04/1999,148.62,93.49,85.57,325.52,149
01/05/1999,157.47,94.81,90.21,297.93,150
01/06/1999,157.83,91.02,85.94,308.19,153
01/07/1999,152.89,88.58,91.47,284.04,139
01/08/1999,140.17,86.76,85.87,254.44,125
